rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
6616	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (t) __ (⋉)	406	306.0	313.0	0.9750292260848944
9364	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -round] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|l|ʒ|z|v|ð|j|ɹ) __ (⋉)	76	1212.0	1242.0	0.9749108314790214
17953	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|l|ʒ|z|ð|w|j|ɹ) __ (⋉)	82	1225.0	1256.0	0.9743860002435922
13926	∅ -> d / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, +voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (m|b) __ (⋉)	174	129.0	132.0	0.9719300314053184
12504	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|l|ʒ|z|v|ð|w|j|ɹ) __ (⋉)	68	1279.0	1316.0	0.9709499502772434
15756	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental] __ [-begin/end]	∅ -> d / (ŋ|n|l|j|ɹ) __ (⋉)	106	972.0	1002.0	0.9689094030502484
14103	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -round, -labiodental] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|j|ɹ) __ (⋉)	97	1066.0	1099.0	0.9688939559895968
10839	∅ -> d / X [+sonorant, +voice, -spread.gl, -round, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|ŋ|n|m|l|j|ɹ) __ (⋉)	80	1225.0	1265.0	0.9673876164645197
11975	∅ -> d / X [+sonorant, +voice, -spread.gl, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|n|m|l|w|j|ɹ) __ (⋉)	72	1292.0	1339.0	0.9639171256163008
7588	∅ -> ɨ d / X [-nasal, -spread.gl, +LABIAL, -CORONAL, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ɔ|o|u|ʊ|v|p|f|b|w) (t) __ (⋉)	308	71.0	73.0	0.96354958195584
17256	∅ -> d / X [-nasal, +voice, -spread.gl, -round, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|g|b|j) __ (⋉)	106	233.0	241.0	0.9633843028887742
5084	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, +voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (m|b) (ɪ) (t) __ (⋉)	600	15.0	15.0	0.9630014039207851
6887	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (ɹ) (d) __ (⋉)	609	15.0	15.0	0.9630014039207851
12229	∅ -> d / X [-nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> d / (u|ʊ|ɨ|i|ɪ|g|w|j) __ (⋉)	120	203.0	210.0	0.9628474793641912
2538	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (p|f) __ (⋉)	166	170.0	176.0	0.9614927278419472
4260	∅ -> ɨ d / X [+C/V, -syllabic, -nasal, +voice, -spread.gl, -round, -labiodental, -lateral, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ʒ|z|d|b|ð|ɹ) (ɪ) (t) __ (⋉)	539	14.0	14.0	0.960519213544768
6240	∅ -> ɨ d / X [-spread.gl] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (t) __ (⋉)	262	678.0	708.0	0.9560231034651436
1316	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -front] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə) (ŋ) (k) __ (⋉)	569	12.0	12.0	0.9543996414282906
6105	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -front] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ʌ|ɔ|o|ə|u|ʊ|ɨ) (n) (d) __ (⋉)	616	11.0	11.0	0.9505677122585596
18734	∅ -> d / X [-nasal, +voice, -spread.gl, -round, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|g|v|b|j) __ (⋉)	92	287.0	301.0	0.9504369320467112
17328	∅ -> d / X [-nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|g|b|w|j) __ (⋉)	98	300.0	315.0	0.9494189892058136
11506	∅ -> d / X [+C/V, -syllabic, +consonantal, -approximant, +voice, -spread.gl, +LABIAL, -round, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (m|v|b) __ (⋉)	147	183.0	192.0	0.9488127064501632
11374	∅ -> d / X [+voice, -spread.gl, +LABIAL, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɔ|o|u|ʊ|m|b|w) __ (⋉)	99	196.0	206.0	0.9473517759667268
2883	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ʌ|ɔ|ə|ɛ|ʊ|ɪ) (k) __ (⋉)	388	47.0	49.0	0.9460667795235314
12436	∅ -> d / X [-nasal, +voice, -spread.gl, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|g|v|b|w|j) __ (⋉)	84	354.0	375.0	0.9413114297067332
3694	∅ -> t / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (l|w|j|ɹ) (i) (k) __ (⋉)	525	9.0	9.0	0.9405769851841768
6419	∅ -> ɨ d / X [+C/V, -syllabic, -approximant, -LABIAL, -round, -labiodental, -lateral, -rhotic, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (n|ʒ|z|t|ʃ|s|d|θ|ð|h) (i) (d) __ (⋉)	543	9.0	9.0	0.9405769851841768
8575	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (t|d) __ (⋉)	241	836.0	891.0	0.9367630806834164
10361	∅ -> d / X [+voice, -spread.gl, +LABIAL, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɔ|o|u|ʊ|m|v|b|w) __ (⋉)	85	250.0	266.0	0.936345248239901
3678	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -round, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> t / (k|p|f) __ (⋉)	148	325.0	347.0	0.9336846932135104
15792	∅ -> d / X [+voice, -spread.gl, -round, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|ŋ|m|g|b|j) __ (⋉)	98	337.0	360.0	0.9332680337831344
13634	∅ -> d / X [+voice, -spread.gl, -round, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|ŋ|m|g|v|b|j) __ (⋉)	84	391.0	420.0	0.9283625848655186
17005	∅ -> d / X [+voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|m|g|b|w|j) __ (⋉)	90	404.0	434.0	0.9283439551249474
11070	∅ -> d / X [+voice, -spread.gl, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|m|g|v|b|w|j) __ (⋉)	76	458.0	494.0	0.9247842912936964
19002	i p -> ɛ p t / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -rhotic] __ [-begin/end]	i p -> ɛ p t / (l|w|j) __ (⋉)	139	4.0	4.0	0.8795102700976709
19276	ɪ -> ʌ / X [+C/V, -syllabic, +consonantal, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [-begin/end]	ɪ -> ʌ / (l|t|d) __ (ŋ) (⋉)	353	4.0	4.0	0.8795102700976709
8636	ɪ -> ʊ / X [+C/V, -syllabic, -nasal, -spread.gl, -lateral] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, +low, -front, -back] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [-begin/end]	ɪ -> ʊ / (k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (a) __ (n) (d) (⋉)	693	4.0	4.0	0.8795102700976709
14560	∅ -> d / X [+voice, -spread.gl] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|n|m|l|g|ʒ|z|v|d|b|ð|w|j|ɹ) __ (⋉)	47	1686.0	1927.0	0.8737929814754289
19222	ɪ -> ʌ / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -round, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] X	ɪ -> ʌ / (ʃ|s|f|θ) (l) __ (ŋ)	550	3.0	3.0	0.8478608772434439
19007	i p -> ɛ p t / X [+C/V, -syllabic, -nasal, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	i p -> ɛ p t / (k|g|w|j) __ (⋉)	135	3.0	3.0	0.8478608772434439
19226	ɪ -> ʌ / [+begin/end] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] X	ɪ -> ʌ / (⋊) (s) (t) __ (ŋ)	648	2.0	2.0	0.7915953685536075
19295	i t ʃ -> ɔ t / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -rhotic, -DORSAL] __ [-begin/end]	i t ʃ -> ɔ t / (t|s) __ (⋉)	211	2.0	2.0	0.7915953685536075
20	e -> ʊ / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +strident, -lateral, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [-begin/end]	e -> ʊ / (ʃ|s) __ (k) (⋉)	420	2.0	2.0	0.7915953685536075
18908	i l -> ɛ l t / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	i l -> ɛ l t / (n|d) __ (⋉)	216	2.0	2.0	0.7915953685536075
18933	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -lateral, -rhotic] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, -front, +back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ∅ / (k|t|ʃ|s|θ) (ʌ) (t) __ (⋉)	585	2.0	2.0	0.7915953685536075
19034	ɪ -> ɑ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [-begin/end]	ɪ -> ɑ / (ʒ|z|t|ʃ|s|d|θ|ð) (ɹ) __ (ŋ) (k) (⋉)	753	2.0	2.0	0.7915953685536075
19079	a ɪ -> o / X [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [-begin/end]	a ɪ -> o / (ɹ) __ (d) (⋉)	452	2.0	2.0	0.7915953685536075
18950	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -round, -labiodental, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ∅ / (t|ʃ|s|p|θ) (l) (ɪ) (t) __ (⋉)	788	2.0	2.0	0.7915953685536075
18956	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, +continuant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -rhotic, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ∅ / (l|z|s) (ɛ) (t) __ (⋉)	599	2.0	2.0	0.7915953685536075
19082	a ɪ -> o / [+begin/end] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, +voice, -spread.gl, -round, -lateral, -rhotic, -DORSAL] X	a ɪ -> o / (⋊) (s) (t) (ɹ) __ (ʒ|z|v|d|b|ð)	794	2.0	2.0	0.7915953685536075
19110	i -> ɛ / X [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [-begin/end]	i -> ɛ / (ɹ) __ (d) (⋉)	450	2.0	2.0	0.7915953685536075
19074	a ɪ -> o / [+begin/end] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -rhotic, -DORSAL] X	a ɪ -> o / (⋊) (ɹ) __ (z|d)	410	2.0	2.0	0.7915953685536075
19016	i p -> ɛ p t / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental] __ [-begin/end]	i p -> ɛ p t / (l|w|j|ɹ) __ (⋉)	130	5.0	6.0	0.7635729812512861
19269	ɪ -> ʌ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -round, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] X	ɪ -> ʌ / (k|t|ʃ|s|p|f|θ) (l) __ (ŋ)	510	4.0	5.0	0.7240838608479855
19289	ɪ -> ʌ / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -rhotic] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [-begin/end]	ɪ -> ʌ / (l|w|j) __ (ŋ) (⋉)	313	4.0	5.0	0.7240838608479855
19130	i -> ɛ / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] [-begin/end]	i -> ɛ / (l|ɹ) __ (d) (⋉)	392	4.0	5.0	0.7240838608479855
23	e -> ʊ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -rhotic, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] [-begin/end]	e -> ʊ / (t|ʃ|s|θ) __ (k) (⋉)	378	3.0	4.0	0.6687014205844588
